# Time-averaged data for fix aveV
# TimeStep v_volume
1800 493039
2700 493039
3600 493039
4500 493039
5400 493039
6300 493039
7200 493039
8100 493039
9000 493039
9900 493039
10800 492734
11700 491902
12600 491061
13500 490221
14400 489382
15300 488544
16200 487707
17100 486871
18000 486036
18900 485202
19800 484369
20700 483537
21600 482706
22500 481876
23400 481046
24300 480218
25200 479391
26100 478564
27000 477739
27900 476914
28800 476091
29700 475268
30600 474446
31500 473625
32400 472806
33300 471987
34200 471169
35100 470352
36000 469536
36900 468721
37800 467907
38700 467094
39600 466281
40500 465470
41400 464660
42300 463850
43200 463042
44100 462234
45000 461428
45900 460622
46800 459817
47700 459013
48600 458211
49500 457409
50400 456608
51300 455808
52200 455009
53100 454210
54000 453413
54900 452617
55800 451822
56700 451027
57600 450234
58500 449441
59400 448649
60300 447859
61200 447069
62100 446280
63000 445492
63900 444705
64800 443919
65700 443134
66600 442350
67500 441566
68400 440784
69300 440003
70200 439222
71100 438443
72000 437664
72900 436886
73800 436109
74700 435333
75600 434558
76500 433784
77400 433011
78300 432239
79200 431468
80100 430697
81000 429928
81900 429159
82800 428392
83700 427625
84600 426859
85500 426094
86400 425330
87300 424567
88200 423805
89100 423044
90000 422284
90900 421524
91800 420766
92700 420008
93600 419251
94500 418496
95400 417741
96300 416987
97200 416234
98100 415482
99000 414730
99900 413980
100800 413231
101700 412482
102600 411735
103500 410988
104400 410242
105300 409497
106200 408753
107100 408010
108000 407268
108900 406527
109800 405786
110700 405047
111600 404308
112500 403570
113400 402834
114300 402098
115200 401363
116100 400629
117000 399895
117900 399163
118800 398432
119700 397701
120600 396971
121500 396243
122400 395515
123300 394788
124200 394062
125100 393337
126000 392612
126900 391889
127800 391166
128700 390445
129600 389724
130500 389004
131400 388285
132300 387567
133200 386850
134100 386134
135000 385418
135900 384704
136800 383990
137700 383277
138600 382566
139500 381855
140400 381144
141300 380435
142200 379727
143100 379019
144000 378313
144900 377607
145800 376902
146700 376198
147600 375495
148500 374793
149400 374092
150300 373391
151200 372692
152100 371993
153000 371295
153900 370598
154800 369902
155700 369207
156600 368512
157500 367819
158400 367126
159300 366435
160200 365744
161100 365054
162000 364365
162900 363676
163800 362989
164700 362302
165600 361617
166500 360932
167400 360248
168300 359565
169200 358883
170100 358201
171000 357521
171900 356841
172800 356163
173700 355485
174600 354808
175500 354132
176400 353456
177300 352782
178200 352108
179100 351435
180000 350764
180900 350093
181800 349422
182700 348753
183600 348085
184500 347417
185400 346750
186300 346084
187200 345419
188100 344755
189000 344092
189900 343429
190800 342768
191700 342107
192600 341447
193500 340788
194400 340130
195300 339472
196200 338816
197100 338160
198000 337505
198900 336851
199800 336198
200700 335546
201600 334894
202500 334244
203400 333594
204300 332945
205200 332297
206100 331650
207000 331003
207900 330358
208800 329713
209700 329069
210600 328426
211500 327784
212400 327143
213300 326502
214200 325862
215100 325224
216000 324586
216900 323948
217800 323312
218700 322676
219600 322042
220500 321408
221400 320775
222300 320143
223200 319511
224100 318881
225000 318251
225900 317622
226800 316994
227700 316367
228600 315741
229500 315115
230400 314490
231300 313866
232200 313243
233100 312621
234000 312000
234900 311379
235800 310759
236700 310140
237600 309522
238500 308905
239400 308288
240300 307673
241200 307058
242100 306444
243000 305831
243900 305218
244800 304607
245700 303996
246600 303386
247500 302777
248400 302168
249300 301561
250200 300954
251100 300348
252000 299743
252900 299139
253800 298536
254700 297933
255600 297331
256500 296730
257400 296130
258300 295531
259200 294932
260100 294334
261000 293738
261900 293141
262800 292546
263700 291952
264600 291358
265500 290765
266400 290173
267300 289581
268200 288991
269100 288401
270000 287812
270900 287224
271800 286637
272700 286051
273600 285465
274500 284880
275400 284296
276300 283713
277200 283130
278100 282548
279000 281968
279900 281387
280800 280808
281700 280230
282600 279652
283500 279075
284400 278499
285300 277924
286200 277349
287100 276775
288000 276202
288900 275630
289800 275059
290700 274488
291600 273918
292500 273349
293400 272781
294300 272214
295200 271647
296100 271081
297000 270516
297900 269952
298800 269388
299700 268826
300600 268264
301500 267703
302400 267142
303300 266583
304200 266024
305100 265466
306000 264909
306900 264352
307800 263797
308700 263242
309600 262688
310500 262134
311400 261582
312300 261030
313200 260479
314100 259929
315000 259379
315900 258831
316800 258283
317700 257735
318600 257189
319500 256644
320400 256099
321300 255555
322200 255011
323100 254469
324000 253927
324900 253386
325800 252846
326700 252307
327600 251768
328500 251230
329400 250693
330300 250157
331200 249621
332100 249086
333000 248552
333900 248019
334800 247486
335700 246955
336600 246424
337500 245893
338400 245364
339300 244835
340200 244307
341100 243780
342000 243253
342900 242728
343800 242203
344700 241679
345600 241155
346500 240633
347400 240111
348300 239590
349200 239069
350100 238550
351000 238031
351900 237512
352800 236995
353700 236478
354600 235963
355500 235447
356400 234933
357300 234419
358200 233907
359100 233394
360000 232883
360900 232372
361800 231863
362700 231353
363600 230845
364500 230337
365400 229831
366300 229324
367200 228819
368100 228314
369000 227810
369900 227307
370800 226805
371700 226303
372600 225802
373500 225302
374400 224802
375300 224304
376200 223806
377100 223308
378000 222812
378900 222316
379800 221821
380700 221327
381600 220833
382500 220340
383400 219848
384300 219357
385200 218866
386100 218376
387000 217887
387900 217398
388800 216911
389700 216424
390600 215937
391500 215452
392400 214967
393300 214483
394200 214000
395100 213517
396000 213035
396900 212554
397800 212073
398700 211594
399600 211115
400500 210636
401400 210159
402300 209682
403200 209206
404100 208731
405000 208256
405900 207782
406800 207309
407700 206836
408600 206364
409500 205893
410400 205423
411300 204953
412200 204484
413100 204016
414000 203549
414900 203082
415800 202616
416700 202150
417600 201686
418500 201222
419400 200759
420300 200296
421200 199834
422100 199373
423000 198913
423900 198453
424800 197994
425700 197536
426600 197078
427500 196622
428400 196166
429300 195710
430200 195255
431100 194801
432000 194348
432900 193895
433800 193444
434700 192992
435600 192542
436500 192092
437400 191643
438300 191195
439200 190747
440100 190300
441000 189854
441900 189408
442800 188963
443700 188519
444600 188075
445500 187633
446400 187191
447300 186749
448200 186308
449100 185868
450000 185429
450900 184990
451800 184552
452700 184115
453600 183679
454500 183243
455400 182808
456300 182373
457200 181939
458100 181506
459000 181074
459900 180642
460800 180211
461700 179781
462600 179351
463500 178922
464400 178494
465300 178066
466200 177639
467100 177213
468000 176787
468900 176362
469800 175938
470700 175514
471600 175092
472500 174669
473400 174248
474300 173827
475200 173407
476100 172987
477000 172569
477900 172151
478800 171733
479700 171316
480600 170900
481500 170485
482400 170070
483300 169656
484200 169243
485100 168830
486000 168418
486900 168007
487800 167596
488700 167186
489600 166776
490500 166368
491400 165960
492300 165552
493200 165146
494100 164740
495000 164334
495900 163930
496800 163526
497700 163122
498600 162719
499500 162317
500400 161916
501300 161515
502200 161115
503100 160716
504000 160317
504900 159919
505800 159522
506700 159125
507600 158729
508500 158333
509400 157939
510300 157545
511200 157151
512100 156758
513000 156366
513900 155975
514800 155584
515700 155194
516600 154804
517500 154415
518400 154027
519300 153639
520200 153252
521100 152866
522000 152480
522900 152095
523800 151711
524700 151327
525600 150944
526500 150562
527400 150180
528300 149799
529200 149419
530100 149039
531000 148660
531900 148281
532800 147903
533700 147526
534600 147149
535500 146774
536400 146398
537300 146024
538200 145649
539100 145276
540000 144903
540900 144531
541800 144160
542700 143789
543600 143419
544500 143049
545400 142680
546300 142312
547200 141944
548100 141577
549000 141211
549900 140845
550800 140480
551700 140115
552600 139752
553500 139388
554400 139026
555300 138664
556200 138302
557100 137942
558000 137582
558900 137222
559800 136863
560700 136505
561600 136147
562500 135790
563400 135434
564300 135078
565200 134723
566100 134369
567000 134015
567900 133662
568800 133309
569700 132957
570600 132606
571500 132255
572400 131905
573300 131555
574200 131207
575100 130858
576000 130511
576900 130164
577800 129817
578700 129471
579600 129126
580500 128782
581400 128438
582300 128094
583200 127751
584100 127409
585000 127068
585900 126727
586800 126387
587700 126047
588600 125708
589500 125369
590400 125032
591300 124694
592200 124358
593100 124022
594000 123686
594900 123351
595800 123017
596700 122683
597600 122350
598500 122018
599400 121686
600300 121355
601200 121024
602100 120694
603000 120365
603900 120036
604800 119708
605700 119380
606600 119053
607500 118727
608400 118401
609300 118076
610200 117751
611100 117427
612000 117104
612900 116781
613800 116459
614700 116137
615600 115816
616500 115496
617400 115176
618300 114856
619200 114538
620100 114220
621000 113902
621900 113585
622800 113269
623700 112953
624600 112638
625500 112323
626400 112009
627300 111696
628200 111383
629100 111071
630000 110759
630900 110448
631800 110138
632700 109828
633600 109519
634500 109210
635400 108902
636300 108594
637200 108287
638100 107981
639000 107675
639900 107370
640800 107065
641700 106761
642600 106457
643500 106154
644400 105852
645300 105550
646200 105249
647100 104948
648000 104648
648900 104349
649800 104050
650700 103751
651600 103454
652500 103156
653400 102860
654300 102564
655200 102268
656100 101973
657000 101679
657900 101385
658800 101092
659700 100799
660600 100507
661500 100215
662400 99924.5
663300 99634.1
664200 99344.2
665100 99054.9
666000 98766.2
666900 98478
667800 98190.4
668700 97903.4
669600 97616.9
670500 97330.9
671400 97045.6
672300 96760.8
673200 96476.5
674100 96192.8
675000 95909.7
675900 95627.1
676800 95345.1
677700 95063.6
678600 94782.7
679500 94502.3
680400 94222.5
681300 93943.2
682200 93664.5
683100 93386.4
684000 93108.8
684900 92831.7
685800 92555.2
686700 92279.3
687600 92003.8
688500 91729
689400 91454.7
690300 91180.9
691200 90907.7
692100 90635
693000 90362.9
693900 90091.3
694800 89820.3
695700 89549.8
696600 89279.9
697500 89010.5
698400 88741.6
699300 88473.3
700200 88205.5
701100 87938.3
702000 87671.6
702900 87405.5
703800 87139.8
704700 86874.8
705600 86610.2
706500 86346.2
707400 86082.8
708300 85819.8
709200 85557.4
710100 85295.6
711000 85034.3
711900 84773.5
712800 84513.2
713700 84253.5
714600 83994.3
715500 83735.7
716400 83477.5
717300 83219.9
718200 82962.9
719100 82706.4
720000 82450.4
720900 82194.9
721800 81939.9
722700 81685.5
723600 81431.6
724500 81178.3
725400 80925.4
726300 80673.1
727200 80421.3
728100 80170.1
729000 79919.3
729900 79669.1
730800 79419.4
731700 79170.2
732600 78921.6
733500 78673.5
734400 78425.9
735300 78178.8
736200 77932.2
737100 77686.2
738000 77440.6
738900 77195.6
739800 76951.1
740700 76707.1
741600 76463.7
742500 76220.7
743400 75978.3
744300 75736.4
745200 75495
746100 75254.1
747000 75013.7
747900 74773.9
748800 74534.5
749700 74295.7
750600 74057.3
751500 73819.5
752400 73582.2
753300 73345.4
754200 73109.1
755100 72873.3
756000 72638.1
756900 72403.3
757800 72169
758700 71935.3
759600 71702
760500 71469.3
761400 71237
762300 71005.3
763200 70774
764100 70543.3
765000 70313.1
765900 70083.4
766800 69854.1
767700 69625.4
768600 69397.2
769500 69169.4
770400 68942.2
771300 68715.5
772200 68489.2
773100 68263.5
774000 68038.3
774900 67813.5
775800 67589.3
776700 67365.5
777600 67142.2
778500 66919.5
779400 66697.2
780300 66475.4
781200 66254.1
782100 66033.3
783000 65813
783900 65593.2
784800 65373.9
785700 65155.1
786600 64936.7
787500 64718.9
788400 64501.5
789300 64284.6
790200 64068.2
791100 63852.3
792000 63636.9
792900 63421.9
793800 63207.5
794700 62993.5
795600 62780
796500 62567
797400 62354.5
798300 62142.4
799200 61930.9
800100 61719.8
801000 61509.2
801900 61299.1
802800 61089.5
803700 60880.3
804600 60671.6
805500 60463.4
806400 60255.7
807300 60048.4
808200 59841.6
809100 59635.3
810000 59429.5
810900 59224.2
811800 59019.3
812700 58814.9
813600 58610.9
814500 58407.5
815400 58204.5
816300 58002
817200 57799.9
818100 57598.3
819000 57397.2
819900 57196.6
820800 56996.4
821700 56796.7
822600 56597.5
823500 56398.7
824400 56200.4
825300 56002.6
826200 55805.2
827100 55608.3
828000 55411.8
828900 55215.8
829800 55020.3
830700 54825.2
831600 54630.6
832500 54436.5
833400 54242.8
834300 54049.6
835200 53856.9
836100 53664.6
837000 53472.7
837900 53281.3
838800 53090.4
839700 52899.9
840600 52709.9
841500 52520.4
842400 52331.3
843300 52142.6
844200 51954.4
845100 51766.7
846000 51579.4
846900 51392.6
847800 51206.2
848700 51020.2
849600 50834.8
850500 50649.7
851400 50465.2
852300 50281
853200 50097.3
854100 49914.1
855000 49731.3
855900 49549
856800 49367.1
857700 49185.6
858600 49004.6
859500 48824
860400 48643.9
861300 48464.3
862200 48285
863100 48106.2
864000 47927.9
864900 47750
865800 47572.5
866700 47395.5
867600 47218.9
868500 47042.8
869400 46867.1
870300 46691.8
871200 46517
872100 46342.6
873000 46168.6
873900 45995.1
874800 45822
875700 45649.4
876600 45477.1
877500 45305.4
878400 45134
879300 44963.1
880200 44792.6
881100 44622.5
882000 44452.9
882900 44283.7
883800 44115
884700 43946.6
885600 43778.7
886500 43611.3
887400 43444.2
888300 43277.6
889200 43111.4
890100 42945.6
891000 42780.3
891900 42615.4
892800 42450.9
893700 42286.8
894600 42123.1
895500 41959.9
896400 41797.1
897300 41634.7
898200 41472.8
899100 41311.2
900000 41150.1
900900 40989.4
901800 40829.1
902700 40669.3
903600 40509.8
904500 40350.8
905400 40192.2
906300 40034
907200 39876.2
908100 39718.9
909000 39561.9
909900 39405.4
910800 39249.2
911700 39093.5
912600 38938.2
913500 38783.4
914400 38628.9
915300 38474.8
916200 38321.2
917100 38167.9
918000 38015.1
918900 37862.7
919800 37710.7
920700 37559
921600 37407.8
922500 37257
923400 37106.7
924300 36956.7
925200 36807.1
926100 36657.9
927000 36509.1
927900 36360.8
928800 36212.8
929700 36065.2
930600 35918.1
931500 35771.3
932400 35624.9
933300 35479
934200 35333.4
935100 35188.3
936000 35043.5
936900 34899.1
937800 34755.1
938700 34611.6
939600 34468.4
940500 34325.6
941400 34183.2
942300 34041.2
943200 33899.6
944100 33758.4
945000 33617.6
945900 33477.2
946800 33337.1
947700 33197.5
948600 33058.3
949500 32919.4
950400 32780.9
951300 32642.8
952200 32505.1
953100 32367.8
954000 32230.9
954900 32094.4
955800 31958.2
956700 31822.5
957600 31687.1
958500 31552.1
959400 31417.5
960300 31283.3
961200 31149.4
962100 31016
963000 30882.9
963900 30750.2
964800 30617.9
965700 30486
966600 30354.4
967500 30223.2
968400 30092.4
969300 29962
970200 29832
971100 29702.3
972000 29573
972900 29444.1
973800 29315.6
974700 29187.4
975600 29059.6
976500 28932.2
977400 28805.2
978300 28678.5
979200 28552.2
980100 28426.3
981000 28300.7
981900 28175.5
982800 28050.7
983700 27926.2
984600 27802.2
985500 27678.5
986400 27555.1
987300 27432.1
988200 27309.5
989100 27187.3
990000 27065.4
990900 26943.9
991800 26822.7
992700 26702
993600 26581.5
994500 26461.5
995400 26341.8
996300 26222.4
997200 26103.5
998100 25984.9
999000 25866.6
999900 25748.7
1000800 25631.2
1001700 25514
1002600 25397.2
1003500 25280.7
1004400 25164.6
1005300 25048.8
1006200 24933.4
1007100 24818.4
1008000 24703.7
1008900 24589.4
1009800 24475.4
