# Time-averaged data for fix aveP
# TimeStep c_pressure
1800 10.9339
2700 11.7133
3600 12.7213
4500 11.8645
5400 12.9649
6300 12.7828
7200 11.6761
8100 12.5774
9000 11.7085
9900 11.0716
10800 7.8039
11700 11.6613
12600 10.1296
13500 7.87966
14400 10.4931
15300 9.42728
16200 8.53379
17100 11.377
18000 10.3447
18900 9.41485
19800 10.8758
20700 10.6369
21600 12.2556
22500 11.292
23400 12.1102
24300 13.2471
25200 11.2863
26100 10.263
27000 11.3674
27900 12.2275
28800 13.7992
29700 11.9018
30600 11.6778
31500 10.7597
32400 10.6859
33300 13.9056
34200 14.1233
35100 11.9129
36000 12.1434
36900 12.4635
37800 13.8052
38700 13.6591
39600 13.8624
40500 11.4421
41400 14.6733
42300 16.4064
43200 12.8275
44100 13.0904
45000 14.316
45900 14.0708
46800 14.5877
47700 14.6739
48600 14.9114
49500 12.3757
50400 12.9085
51300 14.3527
52200 14.9285
53100 13.3508
54000 13.5393
54900 9.35011
55800 11.6692
56700 13.4848
57600 12.244
58500 13.6969
59400 11.0203
60300 8.86305
61200 10.7684
62100 12.1515
63000 10.7848
63900 14.2117
64800 11.7584
65700 11.3315
66600 9.09522
67500 5.77514
68400 14.9156
69300 11.0585
70200 1.8457
71100 6.19379
72000 3.66666
72900 2.68751
73800 4.04796
74700 7.03033
75600 1.18039
76500 7.16819
77400 5.13091
78300 -4.9867
79200 -2.9571
80100 5.01462
81000 0.409103
81900 4.52706
82800 -14.3289
83700 22.63
84600 -0.761943
85500 -7.87425
86400 2.87463
87300 -19.0272
88200 -9.77974
89100 -30.209
90000 -11.5556
90900 -12.1792
91800 -39.8065
92700 -17.3441
93600 -20.6809
94500 -36.1511
95400 -24.2064
96300 -27.6861
97200 -10.5158
98100 -8.11048
99000 26.4359
99900 -4.16208
100800 10.2383
101700 20.494
102600 97.8968
103500 163.592
104400 212.803
105300 291.168
106200 464.341
107100 603.861
108000 917.157
108900 1226.53
109800 1659.67
